[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/20 05:01:07] - 47 	 332.8 	 	 0.1000 	 1.0620 	 0.5905 	 0.7422	 5998.6201 	 0.1973
[2022/09/20 05:07:40] - 48 	 332.8 	 	 0.1000 	 1.0637 	 0.5894 	 0.7344	 6004.3730 	 0.1156
[2022/09/20 05:14:13] - 49 	 332.7 	 	 0.0100 	 1.0645 	 0.5872 	 0.8129	 6048.3750 	 0.1484
[2022/09/20 05:20:47] - 50 	 332.7 	 	 0.0100 	 0.8545 	 0.6786 	 0.8816	 5015.9316 	 0.2863
[2022/09/20 05:27:20] - 51 	 332.8 	 	 0.0100 	 0.7535 	 0.7134 	 0.8941	 5003.2417 	 0.2848
[2022/09/20 05:33:54] - 52 	 332.9 	 	 0.0100 	 0.7088 	 0.7288 	 0.8934	 5016.6763 	 0.2969
[2022/09/20 05:40:28] - 53 	 333.0 	 	 0.0100 	 0.6689 	 0.7404 	 0.9027	 5060.1460 	 0.2934
[2022/09/20 05:47:01] - 54 	 332.8 	 	 0.0100 	 0.6403 	 0.7515 	 0.9027	 5074.6787 	 0.2824
[2022/09/20 05:53:35] - 55 	 332.9 	 	 0.0100 	 0.6155 	 0.7562 	 0.9012	 5135.9390 	 0.2781
[2022/09/20 06:00:08] - 56 	 332.8 	 	 0.0100 	 0.6013 	 0.7599 	 0.8980	 5240.4185 	 0.2617
[2022/09/20 06:06:41] - 57 	 332.6 	 	 0.0100 	 0.5869 	 0.7632 	 0.8988	 5308.9492 	 0.2687
[2022/09/20 06:13:15] - 58 	 332.8 	 	 0.0100 	 0.5725 	 0.7686 	 0.8992	 5305.8594 	 0.2590
