[2022/09/19 23:51:42] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=100, epsilon=8.0, fname='output_wide', gamma=1.01, lr=0.1, model='wide', momentum=0.9, normalization='std', num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 23:51:42] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/09/21 04:48:07] - 87 	 1209.4 	 	 0.0010 	 0.7550 	 0.8430 	 1.8629	 0.5105
[2022/09/21 05:09:00] - 88 	 1194.0 	 	 0.0010 	 0.9354 	 0.8438 	 2.6154	 0.5121
[2022/09/21 05:29:22] - 89 	 1156.1 	 	 0.0010 	 0.8103 	 0.8410 	 2.1386	 0.5027
[2022/09/21 05:50:08] - 90 	 1186.4 	 	 0.0010 	 0.9592 	 0.8473 	 3.1632	 0.5051
[2022/09/21 06:10:52] - 91 	 1179.2 	 	 0.0010 	 0.5421 	 0.8410 	 0.9332	 0.5090
[2022/09/21 06:30:01] - 92 	 1089.7 	 	 0.0010 	 0.5769 	 0.8375 	 1.0598	 0.5145
[2022/09/21 06:48:34] - 93 	 1054.2 	 	 0.0010 	 0.6225 	 0.8391 	 1.3042	 0.5125
[2022/09/21 07:06:55] - 94 	 1042.9 	 	 0.0010 	 0.6722 	 0.8441 	 1.8560	 0.5109
[2022/09/21 07:25:11] - 95 	 1037.6 	 	 0.0010 	 0.7207 	 0.8402 	 2.5984	 0.5016
[2022/09/21 07:43:25] - 96 	 1035.7 	 	 0.0010 	 0.5201 	 0.8434 	 0.8653	 0.4996
[2022/09/21 08:01:40] - 97 	 1036.4 	 	 0.0010 	 0.5624 	 0.8410 	 1.1388	 0.5070
[2022/09/21 08:19:56] - 98 	 1037.6 	 	 0.0010 	 0.5559 	 0.8395 	 1.1700	 0.5016
[2022/09/21 08:38:09] - 99 	 1035.2 	 	 0.0010 	 0.5444 	 0.8461 	 1.2624	 0.5051
[2022/09/21 08:38:09] - Total train time: 1842.1445 minutes
[2022/09/21 08:38:09] - Best checkpoint at 80, 0.5328125
