[2022/09/15 23:25:24] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, log_interval=100, lr=0.1, model='wide', momentum=0.9, no_cuda=False, normalization='std', num_steps=10, out_dir='mtrades_out', save_freq=1, save_model=True, seed=0, step_size=2.0, test_batch_size=128, weight_decay=0.0005, wide_factor=10)
[2022/09/15 23:25:24] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/09/18 11:27:36] - 74 	 3280.3 	 	 0.0100 	 0.8920 	 0.8285 	 98.8673	 0.5250
[2022/09/18 12:28:01] - 75 	 3541.0 	 	 0.0100 	 0.8862 	 0.8148 	 78.0331	 0.5215
[2022/09/18 13:27:27] - 76 	 3480.9 	 	 0.0100 	 0.8859 	 0.8250 	 89.2146	 0.5211
[2022/09/18 14:21:32] - 77 	 3175.2 	 	 0.0100 	 0.8793 	 0.8187 	 98.6842	 0.5164
[2022/09/18 15:13:59] - 78 	 3087.3 	 	 0.0100 	 0.8744 	 0.8258 	 79.1861	 0.5195
[2022/09/18 16:07:36] - 79 	 3129.5 	 	 0.0100 	 0.8848 	 0.8102 	 72.7528	 0.5203
[2022/09/18 17:05:14] - 80 	 3384.7 	 	 0.0010 	 0.7416 	 0.8379 	 72.8368	 0.5375
[2022/09/18 17:57:53] - 81 	 3084.2 	 	 0.0010 	 0.6862 	 0.8453 	 70.6579	 0.5426
[2022/09/18 18:50:01] - 82 	 3053.3 	 	 0.0010 	 0.6609 	 0.8441 	 100.0021	 0.5379
[2022/09/18 19:42:18] - 83 	 3063.9 	 	 0.0010 	 0.6445 	 0.8461 	 112.9086	 0.5430
[2022/09/18 20:34:20] - 84 	 3048.0 	 	 0.0010 	 0.6288 	 0.8422 	 81.2641	 0.5387
[2022/09/18 21:25:59] - 85 	 3026.6 	 	 0.0010 	 0.6138 	 0.8477 	 53.2623	 0.5332
[2022/09/18 22:17:10] - 86 	 2999.6 	 	 0.0010 	 0.6044 	 0.8402 	 87.2335	 0.5367
[2022/09/18 23:08:06] - 87 	 2984.5 	 	 0.0010 	 0.5960 	 0.8422 	 88.4629	 0.5375
[2022/09/18 23:58:39] - 88 	 2962.2 	 	 0.0010 	 0.5869 	 0.8426 	 99.5138	 0.5309
[2022/09/19 00:48:59] - 89 	 2948.5 	 	 0.0010 	 0.5743 	 0.8488 	 101.8197	 0.5344
[2022/09/19 01:39:01] - 90 	 2932.0 	 	 0.0010 	 0.5669 	 0.8438 	 81.0140	 0.5316
[2022/09/19 02:28:39] - 91 	 2908.5 	 	 0.0010 	 0.5636 	 0.8441 	 82.5034	 0.5242
[2022/09/19 03:17:45] - 92 	 2877.8 	 	 0.0010 	 0.5560 	 0.8395 	 71.4037	 0.5121
[2022/09/19 04:06:38] - 93 	 2863.6 	 	 0.0010 	 0.5484 	 0.8391 	 52.0343	 0.5246
[2022/09/19 04:55:11] - 94 	 2845.2 	 	 0.0010 	 0.5434 	 0.8402 	 115.5276	 0.5250
[2022/09/19 05:43:29] - 95 	 2830.8 	 	 0.0010 	 0.5390 	 0.8367 	 80.3392	 0.5340
[2022/09/19 06:31:25] - 96 	 2808.4 	 	 0.0010 	 0.5320 	 0.8418 	 85.9870	 0.5230
[2022/09/19 07:19:33] - 97 	 2808.5 	 	 0.0010 	 0.5311 	 0.8438 	 78.0639	 0.5207
[2022/09/19 08:15:05] - 98 	 3249.4 	 	 0.0010 	 0.5227 	 0.8441 	 30.8943	 0.5246
[2022/09/19 09:12:27] - 99 	 3360.5 	 	 0.0010 	 0.5170 	 0.8375 	 116.3686	 0.5273
[2022/09/19 09:12:27] - Total train time: 4779.7041 minutes
[2022/09/19 09:12:27] - Best checkpoint at 83, 0.54296875
