[2022/09/20 10:42:05] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='wide', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/20 10:42:09] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/09/20 20:27:38] - 59 	 548.2 	 	 0.0100 	 0.4411 	 0.8164 	 0.8793	 1692.7721 	 0.4879
[2022/09/20 20:37:47] - 60 	 548.2 	 	 0.0100 	 0.4289 	 0.8216 	 0.8816	 1695.9048 	 0.4754
[2022/09/20 20:47:56] - 61 	 548.2 	 	 0.0100 	 0.4172 	 0.8243 	 0.8828	 1691.8655 	 0.4797
[2022/09/20 20:58:05] - 62 	 548.3 	 	 0.0100 	 0.4018 	 0.8325 	 0.8859	 1662.3267 	 0.4789
[2022/09/20 21:08:14] - 63 	 548.1 	 	 0.0100 	 0.3976 	 0.8331 	 0.8770	 1675.0182 	 0.4684
[2022/09/20 21:18:23] - 64 	 548.2 	 	 0.0100 	 0.3893 	 0.8352 	 0.8793	 1682.9371 	 0.4770
[2022/09/20 21:28:32] - 65 	 548.3 	 	 0.0100 	 0.3798 	 0.8403 	 0.8820	 1667.9153 	 0.4742
[2022/09/20 21:38:41] - 66 	 548.3 	 	 0.0100 	 0.3728 	 0.8432 	 0.8762	 1661.4806 	 0.4652
[2022/09/20 21:48:50] - 67 	 548.3 	 	 0.0100 	 0.3655 	 0.8454 	 0.8770	 1668.5833 	 0.4629
[2022/09/20 21:58:59] - 68 	 548.2 	 	 0.0100 	 0.3591 	 0.8479 	 0.8801	 1653.1644 	 0.4770
[2022/09/20 22:09:08] - 69 	 548.2 	 	 0.0100 	 0.3529 	 0.8495 	 0.8734	 1658.8207 	 0.4727
[2022/09/20 22:19:17] - 70 	 548.2 	 	 0.0100 	 0.3445 	 0.8555 	 0.8770	 1648.4080 	 0.4664
[2022/09/20 22:29:26] - 71 	 548.2 	 	 0.0100 	 0.3362 	 0.8581 	 0.8738	 1617.2063 	 0.4590
[2022/09/20 22:39:35] - 72 	 548.2 	 	 0.0100 	 0.3348 	 0.8595 	 0.8707	 1643.7968 	 0.4527
[2022/09/20 22:49:44] - 73 	 548.1 	 	 0.0100 	 0.3265 	 0.8613 	 0.8742	 1638.2063 	 0.4578
[2022/09/20 22:59:53] - 74 	 548.1 	 	 0.0010 	 0.3283 	 0.8603 	 0.8703	 1648.7909 	 0.4473
[2022/09/20 23:10:00] - 75 	 545.9 	 	 0.0010 	 0.1978 	 0.9234 	 0.8891	 1025.5394 	 0.4813
[2022/09/20 23:20:08] - 76 	 547.5 	 	 0.0010 	 0.1460 	 0.9436 	 0.8895	 795.1464 	 0.4738
[2022/09/20 23:30:16] - 77 	 547.7 	 	 0.0010 	 0.1268 	 0.9504 	 0.8805	 710.1343 	 0.4711
[2022/09/20 23:40:25] - 78 	 547.7 	 	 0.0010 	 0.1137 	 0.9556 	 0.8781	 643.8588 	 0.4707
[2022/09/20 23:50:33] - 79 	 547.7 	 	 0.0010 	 0.1036 	 0.9593 	 0.8801	 593.8185 	 0.4789
[2022/09/21 00:00:42] - 80 	 547.7 	 	 0.0010 	 0.0962 	 0.9626 	 0.8805	 564.8277 	 0.4797
[2022/09/21 00:10:50] - 81 	 547.7 	 	 0.0010 	 0.0879 	 0.9666 	 0.8848	 517.2363 	 0.4805
[2022/09/21 00:20:59] - 82 	 547.7 	 	 0.0010 	 0.0823 	 0.9679 	 0.8820	 492.6239 	 0.4758
[2022/09/21 00:31:07] - 83 	 547.7 	 	 0.0010 	 0.0763 	 0.9704 	 0.8816	 461.0419 	 0.4715
[2022/09/21 00:41:15] - 84 	 547.7 	 	 0.0010 	 0.0712 	 0.9730 	 0.8848	 434.4801 	 0.4742
[2022/09/21 00:51:24] - 85 	 547.6 	 	 0.0010 	 0.0689 	 0.9745 	 0.8820	 421.8688 	 0.4742
[2022/09/21 01:01:32] - 86 	 547.6 	 	 0.0010 	 0.0638 	 0.9761 	 0.8793	 401.4109 	 0.4770
[2022/09/21 01:11:41] - 87 	 547.9 	 	 0.0010 	 0.0612 	 0.9770 	 0.8844	 384.8716 	 0.4844
[2022/09/21 01:21:50] - 88 	 548.0 	 	 0.0010 	 0.0570 	 0.9784 	 0.8828	 363.3304 	 0.4723
[2022/09/21 01:31:58] - 89 	 548.0 	 	 0.0010 	 0.0541 	 0.9798 	 0.8758	 343.9395 	 0.4676
[2022/09/21 01:42:07] - 90 	 548.2 	 	 0.0010 	 0.0532 	 0.9805 	 0.8766	 347.6027 	 0.4711
[2022/09/21 01:52:16] - 91 	 548.2 	 	 0.0010 	 0.0505 	 0.9810 	 0.8793	 328.7268 	 0.4719
[2022/09/21 02:02:25] - 92 	 548.1 	 	 0.0010 	 0.0491 	 0.9821 	 0.8797	 318.6771 	 0.4746
[2022/09/21 02:12:34] - 93 	 548.2 	 	 0.0010 	 0.0469 	 0.9833 	 0.8832	 306.3897 	 0.4738
[2022/09/21 02:22:43] - 94 	 548.0 	 	 0.0010 	 0.0452 	 0.9841 	 0.8812	 299.8252 	 0.4762
[2022/09/21 02:32:52] - 95 	 548.0 	 	 0.0010 	 0.0432 	 0.9841 	 0.8812	 286.5407 	 0.4762
[2022/09/21 02:43:00] - 96 	 547.7 	 	 0.0010 	 0.0418 	 0.9848 	 0.8840	 279.7717 	 0.4770
[2022/09/21 02:53:09] - 97 	 548.0 	 	 0.0010 	 0.0414 	 0.9852 	 0.8840	 277.9685 	 0.4738
[2022/09/21 03:03:18] - 98 	 547.9 	 	 0.0010 	 0.0385 	 0.9867 	 0.8812	 258.1452 	 0.4727
[2022/09/21 03:13:27] - 99 	 547.9 	 	 0.0010 	 0.0364 	 0.9874 	 0.8773	 245.4735 	 0.4797
[2022/09/21 03:13:27] - Total train time: 890.0406 minutes
[2022/09/21 03:13:27] - Best checkpoint at 53, 0.512890625
