[2022/09/17 21:09:49] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide4', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/17 21:09:53] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/18 09:04:53] - 77 	 468.1 	 	 0.0010 	 0.2804 	 0.9009 	 0.8621	 0.0777
[2022/09/18 09:14:15] - 78 	 494.2 	 	 0.0010 	 0.1962 	 0.9349 	 0.8293	 0.0484
[2022/09/18 09:23:39] - 79 	 495.7 	 	 0.0010 	 0.1040 	 0.9681 	 0.8852	 0.0652
[2022/09/18 09:32:49] - 80 	 485.4 	 	 0.0010 	 0.0560 	 0.9840 	 0.8695	 0.0730
[2022/09/18 09:41:45] - 81 	 471.4 	 	 0.0010 	 0.0360 	 0.9908 	 0.8840	 0.0879
[2022/09/18 09:50:41] - 82 	 471.6 	 	 0.0010 	 0.0286 	 0.9932 	 0.8902	 0.0926
[2022/09/18 09:59:36] - 83 	 471.5 	 	 0.0010 	 0.0194 	 0.9957 	 0.8926	 0.0766
[2022/09/18 10:08:32] - 84 	 471.2 	 	 0.0010 	 0.0161 	 0.9966 	 0.8883	 0.0551
[2022/09/18 10:17:49] - 85 	 488.9 	 	 0.0010 	 0.0105 	 0.9983 	 0.9035	 0.0922
[2022/09/18 10:27:12] - 86 	 494.9 	 	 0.0010 	 0.0087 	 0.9986 	 0.8996	 0.0789
[2022/09/18 10:36:26] - 87 	 489.7 	 	 0.0010 	 0.0083 	 0.9988 	 0.9023	 0.0555
[2022/09/18 10:45:38] - 88 	 485.3 	 	 0.0010 	 0.0068 	 0.9991 	 0.9004	 0.0523
[2022/09/18 10:55:03] - 89 	 496.6 	 	 0.0010 	 0.0074 	 0.9988 	 0.8898	 0.0676
[2022/09/18 11:04:26] - 90 	 495.1 	 	 0.0010 	 0.0052 	 0.9994 	 0.8984	 0.0660
[2022/09/18 11:13:40] - 91 	 486.4 	 	 0.0010 	 0.0052 	 0.9993 	 0.8914	 0.0625
[2022/09/18 11:23:03] - 92 	 495.2 	 	 0.0010 	 0.0059 	 0.9990 	 0.8977	 0.0695
[2022/09/18 11:32:27] - 93 	 496.8 	 	 0.0010 	 0.0041 	 0.9996 	 0.9012	 0.0691
[2022/09/18 11:41:48] - 94 	 493.0 	 	 0.0010 	 0.0039 	 0.9996 	 0.8996	 0.0719
[2022/09/18 11:51:12] - 95 	 496.5 	 	 0.0010 	 0.0042 	 0.9994 	 0.9062	 0.0742
[2022/09/18 12:00:37] - 96 	 496.7 	 	 0.0010 	 0.0042 	 0.9995 	 0.8934	 0.0840
[2022/09/18 12:10:01] - 97 	 496.5 	 	 0.0010 	 0.0034 	 0.9998 	 0.8988	 0.0695
[2022/09/18 12:19:26] - 98 	 496.8 	 	 0.0010 	 0.0035 	 0.9996 	 0.9027	 0.0797
[2022/09/18 12:28:51] - 99 	 497.2 	 	 0.0010 	 0.0034 	 0.9997 	 0.8953	 0.0746
[2022/09/18 12:28:51] - Total train time: 809.0197 minutes
[2022/09/18 12:28:51] - Best checkpoint at 50, 0.449609375
